Sample size,NN,SVM
8,0.839172413793103,0.881103448275862
16,0.791586206896552,0.928068965517241
32,0.902896551724138,0.920620689655172
64,0.916896551724138,0.967310344827586
128,0.933172413793104,0.965448275862069
256,0.986413793103448,0.959310344827586
512,0.985241379310345,0.961931034482759
1024,0.988137931034483,0.980137931034483
